names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
The Great Gatsby,05/30/2013 ,74.0,"Drama, Romance","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","Leonardo DiCaprio, Jay Gatsby, Tobey Maguire, Nick Carraway, Carey Mulligan, Daisy Buchanan, Joel Edgerton, Tom Buchanan, Elizabeth Debicki, Jordan Baker, Isla Fisher, Myrtle Wilson, Jason Clarke, George Wilson, Amitabh Bachchan, Meyer Wolfsheim, Callan McAuliffe, Teen Jay Gatsby",The Great Gatsby, Released, English,7000000.0,26533200.0,AU
A Beautiful Mind,12/11/2001 ,79.0,"Drama, Romance","John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.","Russell Crowe, John Nash, Jennifer Connelly, Alicia Nash, Ed Harris, William Parcher, Paul Bettany, Charles Herman, Christopher Plummer, Dr. Rosen, Josh Lucas, Martin Hansen, Adam Goldberg, Richard Sol, Anthony Rapp, Bender, Judd Hirsch, Helinger",A Beautiful Mind, Released, English,78000000.0,317668058.0,AU
Monsters of Man,11/19/2020 ,65.0,Science Fiction,"A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.","Neal McDonough, Major, Brett Tutor, Mason, Jose Rosete, Boller, David Haverty, Kroger, Paul Haapaniemi, Jordan, Ryan Hough, Jantz, Ma Rynet, Keala, Kayli Tran, Tien, Jessica Blackmore, Fielding",Monsters of Man, Released, English,1900000.0,192073715.2,AU
The Taste of Married Women,11/13/2018 ,0.0,,We don't have an overview translated in English. Help us expand our database by adding one.,"Jin Joo, ", 유부녀들의 맛, Released, Korean,167540000.0,175269998.8,CN
Rape Zombie: Lust of the Dead 5,09/03/2014 ,55.0,Horror,"Convinced of the final outcome, a team of scientists travels back in time to stop the spread of a virus turning men into zombified rapists through society and causes them to finally uncover the source of the deadly disease which causes them to attempt to stop it before it happens again.","Meguri, Nozomi, Yui Aikawa, Anne / Tamae, Asami, Kanae, Mikoto, Akira, Yûya Takayama, Flesh Goto, Takeshi Nakazawa, Noboru, An Koshi, Saori, Aya Kisaki, Ayaka, Miho Wakabayashi, Dr. Ruriko / others", レイプゾンビ5 LUST OF THE DEAD 新たなる絶望, Released, Japanese,49200000.0,427304425.6,JP
Storks,09/22/2016 ,66.0,"Adventure, Animation, Comedy, Family","Storks deliver babies…or at least they used to. Now they deliver packages for a global internet retail giant. Junior, the company’s top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl...","Andy Samberg, Junior (voice), Katie Crown, Tulip (voice), Kelsey Grammer, Hunter (voice), Keegan-Michael Key, Alpha Wolf (voice), Jordan Peele, Beta Wolf (voice), Anton Starkman, Nate Gardner (voice), Jennifer Aniston, Sarah Gardner (voice), Ty Burrell, Henry Gardner (voice), Stephen Kramer Glickman, Pigeon Toady (voice)",Storks, Released, English,70000000.0,183353431.0,AU
Triple Frontier,03/06/2019 ,63.0,"Action, Thriller, Crime, Adventure","Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.","Ben Affleck, Tom 'Redfly' Davis, Oscar Isaac, Santiago 'Pope' Garcia, Charlie Hunnam, William 'Ironhead' Miller, Garrett Hedlund, Ben Miller, Pedro Pascal, Francisco 'Catfish' Morales, Adria Arjona, Yovanna, Louis Jeovanny, Duke, Juan Camilo Castillo, Captain Diego, Reynaldo Gallegos, Gabriel Martín Lorea",Triple Frontier, Released, English,115000000.0,0.0,US
Moana,12/26/2016 ,76.0,"Adventure, Comedy, Family, Animation","In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.","Auli'i Cravalho, Moana (voice), Dwayne Johnson, Maui (voice), Rachel House, Gramma Tala (voice), Temuera Morrison, Chief Tui (voice), Jemaine Clement, Tamatoa (voice), Nicole Scherzinger, Sina (voice), Alan Tudyk, Heihei / Villager #3 (voice), Louise Bush, Toddler Moana (voice), Christopher Jackson, Chief Tui (singing voice)",Moana, Released, English,150000000.0,630626714.0,AU
Beetlejuice,09/08/1988 ,74.0,"Fantasy, Comedy","After an untimely death, a newly dead New England couple seek help from a deranged demon exorcist to scare an affluent New York family out of their home.","Alec Baldwin, Adam Maitland, Geena Davis, Barbara Maitland, Jeffrey Jones, Charles Deetz, Catherine O'Hara, Delia Deetz, Winona Ryder, Lydia Deetz, Michael Keaton, Betelgeuse, Glenn Shadix, Otho, Sylvia Sidney, Juno, Patrice Martinez, Receptionist",Beetlejuice, Released, English,15000000.0,74456687.0,AU
Naruto the Movie: Ninja Clash in the Land of Snow,08/21/2004 ,73.0,"Comedy, Action, Animation, Adventure","Naruto is thrilled when he is sent on a mission to protect his favorite actress, Yukie Fujikaze, on the set of her new movie, The Adventures of Princess Gale. But when the crew ventures out to film in the icy, foreboding Land of Snow, Yukie mysteriously flees! Naruto and his squad set off to find her... unaware that three Snow Ninja lie in wait, with a sinister purpose that will force Yukie to face her hidden past!","Junko Takeuchi, Naruto Uzumaki (voice), Chie Nakamura, Sakura Haruno (voice), Noriaki Sugiyama, Sasuke Uchiha (voice), Kazuhiko Inoue, Kakashi Hatake (voice), Hidehiko Ishizuka, Sōsetsu Kazahana (voice), Yuhko Kaida, Yukie Fujikaze (voice), Hirotaka Suzuoki, Nadare Roga (voice), Ikuo Nishikawa, Sendayu Asama (voice), Jun Karasawa, Fubuki Kakuyoku (voice)", 劇場版 NARUTO 大活劇! 雪姫忍法帖だってばよ!!, Released, Japanese,7101535.2,17400000.0,JP
